grid,cell_value,n,d,method,rep,seed,fit_seconds,status,timestamp
n,2000,2000,20,LUNAR,3,3,9.5484,OK,2026-07-12 07:19:17
n,2000,2000,20,LUNAR,4,4,7.4946,OK,2026-07-12 07:19:25
n,2000,2000,20,LUNAR,5,5,7.2039,OK,2026-07-12 07:19:32
n,2000,2000,20,LUNAR,6,6,7.228,OK,2026-07-12 07:19:39
n,2000,2000,20,LUNAR,7,7,7.19,OK,2026-07-12 07:19:46
n,2000,2000,20,LUNAR,8,8,7.3118,OK,2026-07-12 07:19:54
n,2000,2000,20,LUNAR,9,9,7.2216,OK,2026-07-12 07:20:01
n,2000,2000,20,LUNAR,10,10,7.4733,OK,2026-07-12 07:20:08
n,2000,2000,20,AutoEncoder,1,1,0.5607,OK,2026-07-12 07:20:09
n,2000,2000,20,AutoEncoder,2,2,0.5305,OK,2026-07-12 07:20:10
n,2000,2000,20,AutoEncoder,3,3,0.5396,OK,2026-07-12 07:20:10
n,2000,2000,20,AutoEncoder,4,4,0.5332,OK,2026-07-12 07:20:11
n,2000,2000,20,AutoEncoder,5,5,0.5337,OK,2026-07-12 07:20:11
n,2000,2000,20,AutoEncoder,6,6,0.5698,OK,2026-07-12 07:20:12
n,2000,2000,20,AutoEncoder,7,7,0.5484,OK,2026-07-12 07:20:12
n,2000,2000,20,AutoEncoder,8,8,0.5663,OK,2026-07-12 07:20:13
n,2000,2000,20,AutoEncoder,9,9,0.5722,OK,2026-07-12 07:20:14
n,2000,2000,20,AutoEncoder,10,10,0.5438,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,1,1,0.0008,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,2,2,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,3,3,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,4,4,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,5,5,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,6,6,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,7,7,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,8,8,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,9,9,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,ECOD,10,10,0.0007,OK,2026-07-12 07:20:14
n,250,250,20,LUNAR,1,1,1.4835,OK,2026-07-12 07:20:16
n,250,250,20,LUNAR,2,2,1.5185,OK,2026-07-12 07:20:17
n,250,250,20,LUNAR,3,3,1.3851,OK,2026-07-12 07:20:19
n,250,250,20,LUNAR,4,4,1.3675,OK,2026-07-12 07:20:20
n,250,250,20,LUNAR,5,5,1.3617,OK,2026-07-12 07:20:21
n,250,250,20,LUNAR,6,6,1.3841,OK,2026-07-12 07:20:23
n,250,250,20,LUNAR,7,7,1.3023,OK,2026-07-12 07:20:24
n,250,250,20,LUNAR,8,8,1.3566,OK,2026-07-12 07:20:25
n,250,250,20,LUNAR,9,9,1.4092,OK,2026-07-12 07:20:27
n,250,250,20,LUNAR,10,10,1.5547,OK,2026-07-12 07:20:28
n,250,250,20,AutoEncoder,1,1,0.0627,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,2,2,0.0628,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,3,3,0.0622,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,4,4,0.0607,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,5,5,0.0617,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,6,6,0.0647,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,7,7,0.0609,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,8,8,0.0621,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,9,9,0.0781,OK,2026-07-12 07:20:29
n,250,250,20,AutoEncoder,10,10,0.0718,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,1,1,0.0048,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,2,2,0.0044,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,3,3,0.0044,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,4,4,0.0046,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,5,5,0.0051,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,6,6,0.0043,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,7,7,0.0044,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,8,8,0.0045,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,9,9,0.0044,OK,2026-07-12 07:20:29
n,4000,4000,20,ECOD,10,10,0.0044,OK,2026-07-12 07:20:29
n,4000,4000,20,LUNAR,1,1,14.4811,OK,2026-07-12 07:20:44
n,4000,4000,20,LUNAR,2,2,14.5815,OK,2026-07-12 07:20:58
n,4000,4000,20,LUNAR,3,3,14.5888,OK,2026-07-12 07:21:13
n,4000,4000,20,LUNAR,4,4,14.4726,OK,2026-07-12 07:21:27
n,4000,4000,20,LUNAR,5,5,14.6509,OK,2026-07-12 07:21:42
n,4000,4000,20,LUNAR,6,6,14.6444,OK,2026-07-12 07:21:57
n,4000,4000,20,LUNAR,7,7,14.6179,OK,2026-07-12 07:22:11
n,4000,4000,20,LUNAR,8,8,14.4648,OK,2026-07-12 07:22:26
n,4000,4000,20,LUNAR,9,9,14.9522,OK,2026-07-12 07:22:41
n,4000,4000,20,LUNAR,10,10,14.6545,OK,2026-07-12 07:22:56
n,4000,4000,20,AutoEncoder,1,1,1.0906,OK,2026-07-12 07:22:57
n,4000,4000,20,AutoEncoder,2,2,1.0673,OK,2026-07-12 07:22:58
n,4000,4000,20,AutoEncoder,3,3,1.0775,OK,2026-07-12 07:22:59
n,4000,4000,20,AutoEncoder,4,4,1.0943,OK,2026-07-12 07:23:00
n,4000,4000,20,AutoEncoder,5,5,1.1157,OK,2026-07-12 07:23:01
n,4000,4000,20,AutoEncoder,6,6,1.0751,OK,2026-07-12 07:23:02
n,4000,4000,20,AutoEncoder,7,7,1.0647,OK,2026-07-12 07:23:03
n,4000,4000,20,AutoEncoder,8,8,1.0713,OK,2026-07-12 07:23:04
n,4000,4000,20,AutoEncoder,9,9,1.0778,OK,2026-07-12 07:23:05
n,4000,4000,20,AutoEncoder,10,10,1.0733,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,1,1,0.0011,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,2,2,0.001,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,3,3,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,4,4,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,5,5,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,6,6,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,7,7,0.001,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,8,8,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,9,9,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,ECOD,10,10,0.0009,OK,2026-07-12 07:23:07
n,500,500,20,LUNAR,1,1,2.114,OK,2026-07-12 07:23:09
n,500,500,20,LUNAR,2,2,2.3222,OK,2026-07-12 07:23:11
n,500,500,20,LUNAR,3,3,2.147,OK,2026-07-12 07:23:13
n,500,500,20,LUNAR,4,4,2.2792,OK,2026-07-12 07:23:15
n,500,500,20,LUNAR,5,5,2.139,OK,2026-07-12 07:23:18
n,500,500,20,LUNAR,6,6,2.1086,OK,2026-07-12 07:23:20
n,500,500,20,LUNAR,7,7,2.1546,OK,2026-07-12 07:23:22
n,500,500,20,LUNAR,8,8,2.1165,OK,2026-07-12 07:23:24
n,500,500,20,LUNAR,9,9,2.2558,OK,2026-07-12 07:23:26
n,500,500,20,LUNAR,10,10,2.1014,OK,2026-07-12 07:23:28
