"grid","cell_value","n","d","method","rep","seed","t_construct","t_total","seconds","status","timestamp"
"n","250","250","20","LOF","1","1001","NA","0.0456","0.0459","OK","2026-07-11 13:46:24"
"n","250","250","20","LOF","2","2001","NA","0.0508","0.0573","OK","2026-07-11 13:46:24"
"n","250","250","20","LOF","3","3001","NA","0.0417","0.0418","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","4","4001","NA","0.0461","0.0462","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","5","5001","NA","0.0433","0.0434","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","6","6001","NA","0.0413","0.0414","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","7","7001","NA","0.0337","0.0338","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","8","8001","NA","0.0379","0.038","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","9","9001","NA","0.0467","0.0469","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","10","10001","NA","0.0438","0.0439","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","1","1001","NA","0.0084","0.0085","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","2","2001","NA","0.0088","0.0113","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","3","3001","NA","0.0066","0.0067","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","4","4001","NA","0.0065","0.0066","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","5","5001","NA","0.0068","0.0069","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","6","6001","NA","0.0065","0.0065","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","7","7001","NA","0.0064","0.0065","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","8","8001","NA","0.0163","0.0164","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","9","9001","NA","0.0066","0.0067","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","10","10001","NA","0.0093","0.0094","OK","2026-07-11 13:46:25"
"n","250","250","20","MST","1","1001","NA","0.1729","0.173","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","2","2001","NA","0.1206","0.123","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","3","3001","NA","0.1121","0.1122","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","4","4001","NA","0.1067","0.1068","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","5","5001","NA","0.1063","0.1063","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","6","6001","NA","0.0897","0.0897","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","7","7001","NA","0.1206","0.1207","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","8","8001","NA","0.1191","0.1192","OK","2026-07-11 13:46:27"
"n","250","250","20","MST","9","9001","NA","0.1221","0.1222","OK","2026-07-11 13:46:27"
"n","250","250","20","MST","10","10001","NA","0.1239","0.124","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","1","1001","NA","0.0058","0.0059","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","2","2001","NA","0.002","0.0038","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","3","3001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","4","4001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","5","5001","NA","0.0031","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","6","6001","NA","0.002","0.0021","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","7","7001","NA","0.003","0.0032","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","8","8001","NA","0.0031","0.0032","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","9","9001","NA","0.003","0.0031","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","10","10001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","1","1001","NA","0.0378","0.0379","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","2","2001","NA","0.0341","0.037","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","3","3001","NA","0.0327","0.0328","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","4","4001","NA","0.0327","0.0328","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","5","5001","NA","0.0297","0.0298","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","6","6001","NA","0.0322","0.0323","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","7","7001","NA","0.0317","0.0319","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","8","8001","NA","0.0323","0.0325","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","9","9001","NA","0.0315","0.0317","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","10","10001","NA","0.032","0.0321","OK","2026-07-11 13:46:28"
"n","250","250","20","RKCCD-OOS","1","1001","0.4112","0.2852","10.4662","OK","2026-07-11 13:46:38"
"n","250","250","20","RKCCD-OOS","2","2001","0.2861","0.3378","2.627","OK","2026-07-11 13:46:41"
"n","250","250","20","RKCCD-OOS","3","3001","0.2872","0.2463","2.5252","OK","2026-07-11 13:46:44"
"n","250","250","20","RKCCD-OOS","4","4001","0.2969","0.275","2.5781","OK","2026-07-11 13:46:46"
"n","250","250","20","RKCCD-OOS","5","5001","0.3108","0.3026","2.6114","OK","2026-07-11 13:46:49"
"n","250","250","20","RKCCD-OOS","6","6001","0.3373","0.326","2.6465","OK","2026-07-11 13:46:52"
"n","250","250","20","RKCCD-OOS","7","7001","0.3425","0.2908","2.6322","OK","2026-07-11 13:46:54"
"n","250","250","20","RKCCD-OOS","8","8001","0.3","0.2998","2.6021","OK","2026-07-11 13:46:57"
"n","250","250","20","RKCCD-OOS","9","9001","0.3314","0.3213","2.6448","OK","2026-07-11 13:47:00"
"n","250","250","20","RKCCD-OOS","10","10001","0.3035","0.326","2.6261","OK","2026-07-11 13:47:02"
"n","250","250","20","RKCCD-IOS","1","1001","0.3244","0.3453","2.6658","OK","2026-07-11 13:47:05"
"n","250","250","20","RKCCD-IOS","2","2001","0.3327","0.3156","2.6359","OK","2026-07-11 13:47:08"
"n","250","250","20","RKCCD-IOS","3","3001","0.33","0.3173","2.6356","OK","2026-07-11 13:47:11"
"n","250","250","20","RKCCD-IOS","4","4001","0.3399","0.3432","2.6738","OK","2026-07-11 13:47:13"
"n","250","250","20","RKCCD-IOS","5","5001","0.3363","0.3111","2.6435","OK","2026-07-11 13:47:16"
"n","250","250","20","RKCCD-IOS","6","6001","0.3327","0.3161","2.634","OK","2026-07-11 13:47:19"
"n","250","250","20","RKCCD-IOS","7","7001","0.3234","0.306","2.613","OK","2026-07-11 13:47:21"
"n","250","250","20","RKCCD-IOS","8","8001","0.3302","0.3256","2.6396","OK","2026-07-11 13:47:24"
"n","250","250","20","RKCCD-IOS","9","9001","0.3482","0.3251","2.6616","OK","2026-07-11 13:47:27"
"n","250","250","20","RKCCD-IOS","10","10001","0.3133","0.3004","2.6066","OK","2026-07-11 13:47:30"
"n","250","250","20","UNCCD-OOS","1","1001","18.8325","19.3495","38.1959","OK","2026-07-11 13:48:08"
"n","250","250","20","UNCCD-OOS","2","2001","19.9455","20.3838","40.3309","OK","2026-07-11 13:48:48"
"n","250","250","20","UNCCD-OOS","3","3001","21.373","20.27","41.644","OK","2026-07-11 13:49:30"
"n","250","250","20","UNCCD-OOS","4","4001","21.1184","20.8569","41.9764","OK","2026-07-11 13:50:12"
"n","250","250","20","UNCCD-OOS","5","5001","20.5732","20.9014","41.4756","OK","2026-07-11 13:50:53"
"n","250","250","20","UNCCD-OOS","6","6001","21.4345","21.1227","42.5582","OK","2026-07-11 13:51:36"
"n","250","250","20","UNCCD-OOS","7","7001","21.1041","21.0497","42.1549","OK","2026-07-11 13:52:18"
"n","250","250","20","UNCCD-OOS","8","8001","20.2551","20.7306","40.9867","OK","2026-07-11 13:52:59"
"n","250","250","20","UNCCD-OOS","9","9001","20.5596","20.4637","41.0242","OK","2026-07-11 13:53:40"
"n","250","250","20","UNCCD-OOS","10","10001","20.893","21.1235","42.0176","OK","2026-07-11 13:54:22"
"n","250","250","20","UNCCD-IOS","1","1001","21.6708","21.5864","43.2607","OK","2026-07-11 13:55:06"
"n","250","250","20","UNCCD-IOS","2","2001","27.8516","33.0607","60.9133","OK","2026-07-11 13:56:07"
"n","250","250","20","UNCCD-IOS","3","3001","21.2401","20.7953","42.0363","OK","2026-07-11 13:56:49"
"n","250","250","20","UNCCD-IOS","4","4001","20.9218","21.3307","42.2535","OK","2026-07-11 13:57:31"
"n","250","250","20","UNCCD-IOS","5","5001","21.3388","21.0332","42.373","OK","2026-07-11 13:58:13"
"n","250","250","20","UNCCD-IOS","6","6001","22.9461","22.779","45.7261","OK","2026-07-11 13:58:59"
"n","250","250","20","UNCCD-IOS","7","7001","22.9043","21.6355","44.5409","OK","2026-07-11 13:59:44"
"n","250","250","20","UNCCD-IOS","8","8001","22.4706","21.7772","44.249","OK","2026-07-11 14:00:28"
"n","250","250","20","UNCCD-IOS","9","9001","21.0168","21.3254","42.3433","OK","2026-07-11 14:01:11"
"n","250","250","20","UNCCD-IOS","10","10001","21.698","22.1507","43.8498","OK","2026-07-11 14:01:54"
"n","500","500","20","LOF","1","1002","NA","0.1604","0.1605","OK","2026-07-11 14:01:55"
"n","500","500","20","LOF","2","2002","NA","0.1664","0.1665","OK","2026-07-11 14:01:55"
"n","500","500","20","LOF","3","3002","NA","0.1464","0.1465","OK","2026-07-11 14:01:55"
"n","500","500","20","LOF","4","4002","NA","0.1214","0.1215","OK","2026-07-11 14:01:55"
"n","500","500","20","LOF","5","5002","NA","0.1751","0.1752","OK","2026-07-11 14:01:55"
"n","500","500","20","LOF","6","6002","NA","0.1615","0.1616","OK","2026-07-11 14:01:56"
"n","500","500","20","LOF","7","7002","NA","0.1599","0.16","OK","2026-07-11 14:01:56"
"n","500","500","20","LOF","8","8002","NA","0.1372","0.1373","OK","2026-07-11 14:01:56"
"n","500","500","20","LOF","9","9002","NA","0.1457","0.1458","OK","2026-07-11 14:01:56"
"n","500","500","20","LOF","10","10002","NA","0.153","0.1531","OK","2026-07-11 14:01:56"
"n","500","500","20","DBSCAN","1","1002","NA","0.0275","0.0277","OK","2026-07-11 14:01:56"
"n","500","500","20","DBSCAN","2","2002","NA","0.0263","0.0264","OK","2026-07-11 14:01:56"
"n","500","500","20","DBSCAN","3","3002","NA","0.026","0.0261","OK","2026-07-11 14:01:56"
"n","500","500","20","DBSCAN","4","4002","NA","0.0261","0.0263","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","5","5002","NA","0.0262","0.0263","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","6","6002","NA","0.026","0.0261","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","7","7002","NA","0.0262","0.0263","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","8","8002","NA","0.0197","0.0198","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","9","9002","NA","0.019","0.0191","OK","2026-07-11 14:01:57"
"n","500","500","20","DBSCAN","10","10002","NA","0.0187","0.0187","OK","2026-07-11 14:01:57"
"n","500","500","20","MST","1","1002","NA","0.41","0.4101","OK","2026-07-11 14:01:57"
"n","500","500","20","MST","2","2002","NA","0.4193","0.4194","OK","2026-07-11 14:01:58"
"n","500","500","20","MST","3","3002","NA","0.4051","0.4051","OK","2026-07-11 14:01:58"
"n","500","500","20","MST","4","4002","NA","0.4307","0.4308","OK","2026-07-11 14:01:59"
"n","500","500","20","MST","5","5002","NA","0.3701","0.3702","OK","2026-07-11 14:01:59"
"n","500","500","20","MST","6","6002","NA","0.3852","0.3854","OK","2026-07-11 14:01:59"
"n","500","500","20","MST","7","7002","NA","0.4154","0.4155","OK","2026-07-11 14:02:00"
"n","500","500","20","MST","8","8002","NA","0.4144","0.4145","OK","2026-07-11 14:02:00"
"n","500","500","20","MST","9","9002","NA","0.3603","0.3604","OK","2026-07-11 14:02:01"
"n","500","500","20","MST","10","10002","NA","0.4252","0.4253","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","1","1002","NA","0.0134","0.0135","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","2","2002","NA","0.0148","0.0149","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","3","3002","NA","0.0083","0.0084","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","4","4002","NA","0.0084","0.0085","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","5","5002","NA","0.0086","0.0087","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","6","6002","NA","0.0083","0.0084","OK","2026-07-11 14:02:01"
"n","500","500","20","ODIN","7","7002","NA","0.0087","0.0087","OK","2026-07-11 14:02:02"
"n","500","500","20","ODIN","8","8002","NA","0.0086","0.0086","OK","2026-07-11 14:02:02"
"n","500","500","20","ODIN","9","9002","NA","0.0213","0.0214","OK","2026-07-11 14:02:02"
"n","500","500","20","ODIN","10","10002","NA","0.0087","0.0088","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","1","1002","NA","0.0405","0.0406","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","2","2002","NA","0.0397","0.0398","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","3","3002","NA","0.0624","0.0625","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","4","4002","NA","0.0529","0.0531","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","5","5002","NA","0.0543","0.0544","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","6","6002","NA","0.0522","0.0523","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","7","7002","NA","0.0541","0.0542","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","8","8002","NA","0.052","0.0521","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","9","9002","NA","0.0521","0.0522","OK","2026-07-11 14:02:02"
"n","500","500","20","iForest","10","10002","NA","0.0526","0.0527","OK","2026-07-11 14:02:02"
"n","500","500","20","RKCCD-OOS","1","1002","1.2176","1.356","4.5894","OK","2026-07-11 14:02:07"
"n","500","500","20","RKCCD-OOS","2","2002","1.4047","1.4504","4.8741","OK","2026-07-11 14:02:12"
"n","500","500","20","RKCCD-OOS","3","3002","1.3481","1.3598","4.744","OK","2026-07-11 14:02:17"
"n","500","500","20","RKCCD-OOS","4","4002","1.2622","1.4163","4.7074","OK","2026-07-11 14:02:22"
"n","500","500","20","RKCCD-OOS","5","5002","1.2995","1.4696","4.8157","OK","2026-07-11 14:02:26"
"n","500","500","20","RKCCD-OOS","6","6002","1.3442","1.3992","4.7586","OK","2026-07-11 14:02:31"
"n","500","500","20","RKCCD-OOS","7","7002","1.3859","1.3037","4.6983","OK","2026-07-11 14:02:36"
"n","500","500","20","RKCCD-OOS","8","8002","1.4091","1.4319","4.8678","OK","2026-07-11 14:02:41"
"n","500","500","20","RKCCD-OOS","9","9002","1.3679","1.461","4.8552","OK","2026-07-11 14:02:46"
"n","500","500","20","RKCCD-OOS","10","10002","1.3982","1.4415","4.8645","OK","2026-07-11 14:02:51"
"n","500","500","20","RKCCD-IOS","1","1002","1.3708","1.3359","4.7266","OK","2026-07-11 14:02:56"
"n","500","500","20","RKCCD-IOS","2","2002","1.4602","1.4366","4.9099","OK","2026-07-11 14:03:01"
"n","500","500","20","RKCCD-IOS","3","3002","1.372","1.3869","4.7893","OK","2026-07-11 14:03:06"
"n","500","500","20","RKCCD-IOS","4","4002","1.371","1.4051","4.8083","OK","2026-07-11 14:03:10"
"n","500","500","20","RKCCD-IOS","5","5002","1.2861","1.3973","4.7105","OK","2026-07-11 14:03:15"
"n","500","500","20","RKCCD-IOS","6","6002","1.3132","1.351","4.6929","OK","2026-07-11 14:03:20"
"n","500","500","20","RKCCD-IOS","7","7002","1.4216","1.4289","4.8722","OK","2026-07-11 14:03:25"
"n","500","500","20","RKCCD-IOS","8","8002","1.4191","1.4352","4.8847","OK","2026-07-11 14:03:30"
"n","500","500","20","RKCCD-IOS","9","9002","1.4392","1.4455","4.8868","OK","2026-07-11 14:03:35"
"n","500","500","20","RKCCD-IOS","10","10002","1.3682","1.4309","4.8245","OK","2026-07-11 14:03:40"
"n","1000","1000","20","LOF","1","1003","NA","0.6728","0.673","OK","2026-07-11 21:16:43"
"n","1000","1000","20","LOF","2","2003","NA","0.6127","0.6166","OK","2026-07-11 21:16:44"
"n","1000","1000","20","LOF","3","3003","NA","0.6493","0.6495","OK","2026-07-11 21:16:44"
"n","1000","1000","20","LOF","4","4003","NA","0.5877","0.5879","OK","2026-07-11 21:16:45"
"n","1000","1000","20","LOF","5","5003","NA","0.5617","0.562","OK","2026-07-11 21:16:46"
"n","1000","1000","20","LOF","6","6003","NA","0.7099","0.7101","OK","2026-07-11 21:16:47"
"n","1000","1000","20","LOF","7","7003","NA","0.6452","0.6454","OK","2026-07-11 21:16:47"
"n","1000","1000","20","LOF","8","8003","NA","0.8653","0.8656","OK","2026-07-11 21:16:48"
"n","1000","1000","20","LOF","9","9003","NA","0.6133","0.6136","OK","2026-07-11 21:16:49"
"n","1000","1000","20","LOF","10","10003","NA","0.8139","0.8141","OK","2026-07-11 21:16:50"
"n","1000","1000","20","DBSCAN","1","1003","NA","0.1184","0.1186","OK","2026-07-11 21:16:50"
"n","1000","1000","20","DBSCAN","2","2003","NA","0.1089","0.1158","OK","2026-07-11 21:16:51"
"n","1000","1000","20","DBSCAN","3","3003","NA","0.0989","0.0991","OK","2026-07-11 21:16:51"
"n","1000","1000","20","DBSCAN","4","4003","NA","0.0842","0.0844","OK","2026-07-11 21:16:51"
"n","1000","1000","20","DBSCAN","5","5003","NA","0.126","0.1263","OK","2026-07-11 21:16:51"
"n","1000","1000","20","DBSCAN","6","6003","NA","0.0823","0.0826","OK","2026-07-11 21:16:51"
"n","1000","1000","20","DBSCAN","7","7003","NA","0.0877","0.0879","OK","2026-07-11 21:16:52"
"n","1000","1000","20","DBSCAN","8","8003","NA","0.1121","0.1124","OK","2026-07-11 21:16:52"
"n","1000","1000","20","DBSCAN","9","9003","NA","0.1096","0.1099","OK","2026-07-11 21:16:52"
"n","1000","1000","20","DBSCAN","10","10003","NA","0.1157","0.1159","OK","2026-07-11 21:16:52"
"n","1000","1000","20","MST","1","1003","NA","3.3507","3.3509","OK","2026-07-11 21:16:56"
"n","1000","1000","20","MST","2","2003","NA","3.3615","3.3658","OK","2026-07-11 21:16:59"
"n","1000","1000","20","MST","3","3003","NA","4.5629","4.5632","OK","2026-07-11 21:17:04"
"n","1000","1000","20","MST","4","4003","NA","4.8962","4.8964","OK","2026-07-11 21:17:09"
"n","1000","1000","20","MST","5","5003","NA","4.2305","4.2307","OK","2026-07-11 21:17:13"
"n","1000","1000","20","MST","6","6003","NA","4.477","4.4772","OK","2026-07-11 21:17:18"
"n","1000","1000","20","MST","7","7003","NA","4.3163","4.3165","OK","2026-07-11 21:17:23"
"n","1000","1000","20","MST","8","8003","NA","4.1734","4.1737","OK","2026-07-11 21:17:27"
"n","1000","1000","20","MST","9","9003","NA","4.3911","4.3914","OK","2026-07-11 21:17:32"
"n","1000","1000","20","MST","10","10003","NA","4.2223","4.2226","OK","2026-07-11 21:17:36"
"n","1000","1000","20","ODIN","1","1003","NA","0.1105","0.1108","OK","2026-07-11 21:17:36"
"n","1000","1000","20","ODIN","2","2003","NA","0.0858","0.0912","OK","2026-07-11 21:17:36"
"n","1000","1000","20","ODIN","3","3003","NA","0.0764","0.0766","OK","2026-07-11 21:17:37"
"n","1000","1000","20","ODIN","4","4003","NA","0.0845","0.0847","OK","2026-07-11 21:17:37"
"n","1000","1000","20","ODIN","5","5003","NA","0.0886","0.0888","OK","2026-07-11 21:17:37"
"n","1000","1000","20","ODIN","6","6003","NA","0.0983","0.0986","OK","2026-07-11 21:17:37"
"n","1000","1000","20","ODIN","7","7003","NA","0.0907","0.091","OK","2026-07-11 21:17:37"
"n","1000","1000","20","ODIN","8","8003","NA","0.1013","0.1015","OK","2026-07-11 21:17:38"
"n","1000","1000","20","ODIN","9","9003","NA","0.0834","0.0837","OK","2026-07-11 21:17:38"
"n","1000","1000","20","ODIN","10","10003","NA","0.1017","0.102","OK","2026-07-11 21:17:38"
"n","1000","1000","20","iForest","1","1003","NA","0.1469","0.1471","OK","2026-07-11 21:17:38"
"n","1000","1000","20","iForest","2","2003","NA","0.1771","0.1826","OK","2026-07-11 21:17:39"
"n","1000","1000","20","iForest","3","3003","NA","0.1318","0.132","OK","2026-07-11 21:17:39"
"n","1000","1000","20","iForest","4","4003","NA","0.1421","0.1423","OK","2026-07-11 21:17:39"
"n","1000","1000","20","iForest","5","5003","NA","0.1396","0.1398","OK","2026-07-11 21:17:39"
"n","1000","1000","20","iForest","6","6003","NA","0.1267","0.1269","OK","2026-07-11 21:17:40"
"n","1000","1000","20","iForest","7","7003","NA","0.1653","0.1655","OK","2026-07-11 21:17:40"
"n","1000","1000","20","iForest","8","8003","NA","0.1409","0.1411","OK","2026-07-11 21:17:40"
"n","1000","1000","20","iForest","9","9003","NA","0.1457","0.1459","OK","2026-07-11 21:17:40"
"n","1000","1000","20","iForest","10","10003","NA","0.1083","0.1085","OK","2026-07-11 21:17:41"
"n","1000","1000","20","RKCCD-OOS","1","1003","16.047","17.0813","43.1069","OK","2026-07-11 21:18:24"
"n","1000","1000","20","RKCCD-OOS","2","2003","16.8929","16.9932","36.2692","OK","2026-07-11 21:19:00"
"n","1000","1000","20","RKCCD-OOS","3","3003","16.5712","16.3073","35.2689","OK","2026-07-11 21:19:36"
"n","1000","1000","20","RKCCD-OOS","4","4003","15.7675","16.2595","34.421","OK","2026-07-11 21:20:11"
"n","1000","1000","20","RKCCD-OOS","5","5003","16.3789","16.6674","35.4311","OK","2026-07-11 21:20:46"
"n","1000","1000","20","RKCCD-OOS","6","6003","16.7547","16.9403","36.0986","OK","2026-07-11 21:21:22"
"n","1000","1000","20","RKCCD-OOS","7","7003","16.4488","15.9487","34.8002","OK","2026-07-11 21:21:58"
"n","1000","1000","20","RKCCD-OOS","8","8003","16.1525","15.9277","34.4258","OK","2026-07-11 21:22:32"
"n","1000","1000","20","RKCCD-OOS","9","9003","16.258","16.3711","34.9763","OK","2026-07-11 21:23:07"
"n","1000","1000","20","RKCCD-OOS","10","10003","15.5015","15.873","33.7178","OK","2026-07-11 21:23:41"
"n","1000","1000","20","RKCCD-IOS","1","1003","16.4362","16.9596","35.7766","OK","2026-07-11 21:24:17"
"n","1000","1000","20","RKCCD-IOS","2","2003","16.4264","16.3997","35.2085","OK","2026-07-11 21:24:53"
"n","1000","1000","20","RKCCD-IOS","3","3003","15.8906","15.8973","34.1412","OK","2026-07-11 21:25:27"
"n","1000","1000","20","RKCCD-IOS","4","4003","16.1172","16.0221","34.4745","OK","2026-07-11 21:26:02"
"n","1000","1000","20","RKCCD-IOS","5","5003","15.7644","16.2103","34.3189","OK","2026-07-11 21:26:36"
"n","1000","1000","20","RKCCD-IOS","6","6003","15.9279","16.2787","34.5502","OK","2026-07-11 21:27:11"
"n","1000","1000","20","RKCCD-IOS","7","7003","15.8885","15.9462","34.1876","OK","2026-07-11 21:27:46"
"n","1000","1000","20","RKCCD-IOS","8","8003","15.7611","15.7845","33.8939","OK","2026-07-11 21:28:20"
"n","1000","1000","20","RKCCD-IOS","9","9003","16.0773","16.2495","34.687","OK","2026-07-11 21:28:55"
"n","1000","1000","20","RKCCD-IOS","10","10003","15.5173","15.7699","33.6175","OK","2026-07-11 21:29:29"
"n","1000","1000","20","UNCCD-OOS","1","1003","NA","NA","1800.0224","FLAGGED_TIMEOUT","2026-07-11 21:59:29"
"n","1000","1000","20","UNCCD-IOS","1","1003","NA","NA","1800.0069","FLAGGED_TIMEOUT","2026-07-11 22:29:29"
"n","2000","2000","20","LOF","1","1004","NA","2.3338","2.334","OK","2026-07-11 22:29:31"
"n","2000","2000","20","LOF","2","2004","NA","2.2042","2.2044","OK","2026-07-11 22:29:34"
"n","2000","2000","20","LOF","3","3004","NA","2.1357","2.1359","OK","2026-07-11 22:29:36"
"n","2000","2000","20","LOF","4","4004","NA","2.1912","2.1914","OK","2026-07-11 22:29:38"
"n","2000","2000","20","LOF","5","5004","NA","2.2052","2.2054","OK","2026-07-11 22:29:41"
"n","2000","2000","20","LOF","6","6004","NA","2.9734","2.9737","OK","2026-07-11 22:29:44"
"n","2000","2000","20","LOF","7","7004","NA","2.259","2.2592","OK","2026-07-11 22:29:46"
"n","2000","2000","20","LOF","8","8004","NA","2.8242","2.8244","OK","2026-07-11 22:29:49"
"n","2000","2000","20","LOF","9","9004","NA","3.1761","3.1763","OK","2026-07-11 22:29:53"
"n","2000","2000","20","LOF","10","10004","NA","2.06","2.0602","OK","2026-07-11 22:29:55"
"n","2000","2000","20","DBSCAN","1","1004","NA","0.6249","0.6252","OK","2026-07-11 22:29:56"
"n","2000","2000","20","DBSCAN","2","2004","NA","0.398","0.3983","OK","2026-07-11 22:29:56"
"n","2000","2000","20","DBSCAN","3","3004","NA","0.4848","0.4851","OK","2026-07-11 22:29:57"
"n","2000","2000","20","DBSCAN","4","4004","NA","0.4731","0.4733","OK","2026-07-11 22:29:58"
"n","2000","2000","20","DBSCAN","5","5004","NA","0.5201","0.5204","OK","2026-07-11 22:29:58"
"n","2000","2000","20","DBSCAN","6","6004","NA","0.5388","0.539","OK","2026-07-11 22:29:59"
"n","2000","2000","20","DBSCAN","7","7004","NA","0.5165","0.5168","OK","2026-07-11 22:30:00"
"n","2000","2000","20","DBSCAN","8","8004","NA","0.4948","0.4951","OK","2026-07-11 22:30:00"
"n","2000","2000","20","DBSCAN","9","9004","NA","0.5371","0.5373","OK","2026-07-11 22:30:01"
"n","2000","2000","20","DBSCAN","10","10004","NA","0.5085","0.5087","OK","2026-07-11 22:30:02"
"n","2000","2000","20","MST","1","1004","NA","13.7075","13.7077","OK","2026-07-11 22:30:15"
"n","2000","2000","20","MST","2","2004","NA","13.8264","13.8265","OK","2026-07-11 22:30:29"
"n","2000","2000","20","MST","3","3004","NA","13.9682","13.9684","OK","2026-07-11 22:30:44"
"n","2000","2000","20","MST","4","4004","NA","14.1668","14.167","OK","2026-07-11 22:30:58"
"n","2000","2000","20","MST","5","5004","NA","22.9078","22.908","OK","2026-07-11 22:31:21"
"n","2000","2000","20","MST","6","6004","NA","20.274","20.2742","OK","2026-07-11 22:31:41"
"n","2000","2000","20","MST","7","7004","NA","14.3069","14.3072","OK","2026-07-11 22:31:56"
"n","2000","2000","20","MST","8","8004","NA","18.4766","18.4769","OK","2026-07-11 22:32:15"
"n","2000","2000","20","MST","9","9004","NA","14.0504","14.0506","OK","2026-07-11 22:32:29"
"n","2000","2000","20","MST","10","10004","NA","14.0248","14.025","OK","2026-07-11 22:32:43"
"n","2000","2000","20","ODIN","1","1004","NA","0.4912","0.4915","OK","2026-07-11 22:32:44"
"n","2000","2000","20","ODIN","2","2004","NA","0.3837","0.3839","OK","2026-07-11 22:32:44"
"n","2000","2000","20","ODIN","3","3004","NA","0.4231","0.4233","OK","2026-07-11 22:32:45"
"n","2000","2000","20","ODIN","4","4004","NA","0.4073","0.4075","OK","2026-07-11 22:32:45"
"n","2000","2000","20","ODIN","5","5004","NA","0.4154","0.4156","OK","2026-07-11 22:32:46"
"n","2000","2000","20","ODIN","6","6004","NA","0.4738","0.474","OK","2026-07-11 22:32:47"
"n","2000","2000","20","ODIN","7","7004","NA","0.4543","0.4545","OK","2026-07-11 22:32:47"
"n","2000","2000","20","ODIN","8","8004","NA","0.433","0.4332","OK","2026-07-11 22:32:48"
