"dataset","method","labeling","TPR_mean","TPR_sd","TNR_mean","TNR_sd","BA_mean","BA_sd","F2_mean","F2_sd","n_seeds"
"Hepatitis","ECOD","true_rate",0.142857142857143,NA,0.91044776119403,NA,0.526652452025586,NA,0.142857142857143,NA,1
"Hepatitis","LUNAR","contam_0.1",0.171428571428571,0.119522860933439,0.913432835820896,0.0124874630825981,0.542430703624733,0.0660051620080187,0.171428571428571,0.119522860933439,5
"Hepatitis","LUNAR","true_rate",0.171428571428571,0.119522860933439,0.913432835820896,0.0124874630825981,0.542430703624733,0.0660051620080187,0.171428571428571,0.119522860933439,5
"InternetAds","AutoEncoder","contam_0.1",0.127717391304348,0.0150072839907436,0.90613266583229,0.00345599531201104,0.516925028568319,0.00923163965137729,0.140802875973637,0.016544878695607,5
"InternetAds","AutoEncoder","true_rate",0.271739130434783,0.0184302445193621,0.832290362953692,0.0042442615664113,0.552014746694237,0.0113372530428867,0.271739130434783,0.0184302445193621,5
"InternetAds","ECOD","contam_0.1",0.361413043478261,NA,0.959949937421777,NA,0.660681490450019,NA,0.398442180946675,NA,1
"InternetAds","ECOD","true_rate",0.442934782608696,NA,0.87171464330413,NA,0.657324712956413,NA,0.442934782608696,NA,1
"InternetAds","LUNAR","contam_0.1",0.235869565217391,0.0129468796190996,0.930788485607009,0.0026770024575979,0.5833290254122,0.00781022067592016,0.259970293086685,0.0141920398311267,5
"InternetAds","LUNAR","true_rate",0.382065217391304,0.0106291343563087,0.857697121401752,0.00244776060270438,0.619881169396528,0.00653844747950651,0.382065217391304,0.0106291343563087,5
"Lymphography","AutoEncoder","contam_0.1",1,0,0.936619718309859,0,0.96830985915493,0,0.769230769230769,0,5
"Lymphography","AutoEncoder","true_rate",0.833333333333333,0,0.992957746478873,0,0.913145539906103,0,0.833333333333333,0,5
"Lymphography","ECOD","contam_0.1",1,NA,0.936619718309859,NA,0.96830985915493,NA,0.769230769230769,NA,1
