"dataset","method","variant","params","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","t_total","status","note","timestamp"
"vertebral","SU-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=12), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.133333333333333,0.852380952380952,0.492857142857143,0.129032258064516,0.2,0.576,0.388,0.14,0.276380952380952,FALSE,3.86756706237793,"ok",NA,"2026-08-08 21:49:55"
"vertebral","SU-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=15), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,3.91225409507751,"ok",NA,"2026-08-08 21:49:59"
"vertebral","SU-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=24), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,3.63505911827087,"ok",NA,"2026-08-08 21:50:03"
"vertebral","SU-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=36), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,3.76609897613525,"ok",NA,"2026-08-08 21:50:06"
"vertebral","SU-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=48), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,3.59331798553467,"ok",NA,"2026-08-08 21:50:10"
"vertebral","SUN-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=2), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0.197518825531006,"ok",NA,"2026-08-08 21:50:10"
"vertebral","SUN-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=5), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0.208936929702759,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=7), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0.203472852706909,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=12), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0.161932945251465,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=15), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0.18178391456604,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=24), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0,0.961904761904762,0.480952380952381,0,0.1,0.928,0.514,0.109,0.109,FALSE,0.135891914367676,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=36), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0,0.961904761904762,0.480952380952381,0,0.1,0.928,0.514,0.109,0.109,FALSE,0.134796142578125,"ok",NA,"2026-08-08 21:50:11"
"vertebral","SUN-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=48), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",240,6,0,0.961904761904762,0.480952380952381,0,0.1,0.928,0.514,0.109,0.109,FALSE,0.171684980392456,"ok",NA,"2026-08-08 21:50:12"
"ecoli","SU-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=3), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.780487804878049,0.827743902439024,0.315315315315315,0.75,0.68,0.715,0.21,0.125,FALSE,3.811115026474,"ok",NA,"2026-08-08 21:50:15"
"ecoli","SU-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=7), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.780487804878049,0.827743902439024,0.315315315315315,0.75,0.68,0.715,0.21,0.125,FALSE,3.69791197776794,"ok",NA,"2026-08-08 21:50:19"
"ecoli","SU-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=10), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.780487804878049,0.827743902439024,0.315315315315315,0.75,0.68,0.715,0.21,0.125,FALSE,3.70870685577393,"ok",NA,"2026-08-08 21:50:23"
"ecoli","SU-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=17), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,3.70704007148743,"ok",NA,"2026-08-08 21:50:27"
"ecoli","SU-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=21), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,3.6436140537262,"ok",NA,"2026-08-08 21:50:30"
"ecoli","SU-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=34), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,3.6100480556488,"ok",NA,"2026-08-08 21:50:34"
"ecoli","SU-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=50), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,3.71726489067078,"ok",NA,"2026-08-08 21:50:38"
"ecoli","SU-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=67), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,3.5892059803009,"ok",NA,"2026-08-08 21:50:41"
"ecoli","SUN-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=3), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.74390243902439,0.809451219512195,0.284552845528455,0.75,0.741,0.745,0.244,0.125,FALSE,0.511358022689819,"ok",NA,"2026-08-08 21:50:42"
"ecoli","SUN-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=7), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.74390243902439,0.809451219512195,0.284552845528455,0.75,0.741,0.745,0.244,0.125,FALSE,0.49742317199707,"ok",NA,"2026-08-08 21:50:42"
"ecoli","SUN-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=10), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.74390243902439,0.809451219512195,0.284552845528455,0.75,0.741,0.745,0.244,0.125,FALSE,0.454760074615479,"ok",NA,"2026-08-08 21:50:43"
"ecoli","SUN-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=17), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,0.358813047409058,"ok",NA,"2026-08-08 21:50:43"
"ecoli","SUN-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=21), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,0.340065956115723,"ok",NA,"2026-08-08 21:50:44"
"ecoli","SUN-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=34), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,0.398432970046997,"ok",NA,"2026-08-08 21:50:44"
"ecoli","SUN-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=50), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,0.35166597366333,"ok",NA,"2026-08-08 21:50:44"
"ecoli","SUN-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=67), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,0.363615989685059,"ok",NA,"2026-08-08 21:50:45"
"stamps","SU-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=3), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,0.0645161290322581,0.925566343042071,0.495041236037165,0.0671140939597315,0.516,0.883,0.7,0.455,0.451483870967742,FALSE,4.8821849822998,"ok",NA,"2026-08-08 21:50:50"
"stamps","SU-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=7), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.22834992408752,"ok",NA,"2026-08-08 21:50:53"
"stamps","SU-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=10), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.24776005744934,"ok",NA,"2026-08-08 21:50:56"
"stamps","SU-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=17), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.22797298431396,"ok",NA,"2026-08-08 21:50:59"
"stamps","SU-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=21), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.25636005401611,"ok",NA,"2026-08-08 21:51:03"
"stamps","SU-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=34), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.23033308982849,"ok",NA,"2026-08-08 21:51:06"
"stamps","SU-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=51), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.29426503181458,"ok",NA,"2026-08-08 21:51:09"
"stamps","SU-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=68), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,3.2718231678009,"ok",NA,"2026-08-08 21:51:12"
"stamps","SUN-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=3), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",340,9,0.516129032258065,0.828478964401295,0.672303998329679,0.414507772020725,0.516,0.884,0.701,0.457,0.0555210355987055,FALSE,0.447096109390259,"ok",NA,"2026-08-08 21:51:13"
