"dataset","method","n","d","cutoff","calibrated","TPR","TNR","BA","F2"
"Thyroid","RKCCD-IOS",3656,6,1.75,2,0.924731182795699,0.816166152119001,0.87044866745735,0.386343216531896
"Thyroid","RKCCD-IOS",3656,6,1.9375,2,0.903225806451613,0.82879595846197,0.866010882456792,0.393996247654784
"Thyroid","RKCCD-IOS",3656,6,2,2,0.903225806451613,0.833847880999158,0.868536843725385,0.400763358778626
"Thyroid","RKCCD-IOS",3656,6,2.125,2,0.903225806451613,0.84142576480494,0.872325785628276,0.411361410381978
"Thyroid","RKCCD-IOS",3656,6,2.3125,2,0.870967741935484,0.85489755823744,0.862932650086462,0.417525773195876
"Thyroid","RKCCD-IOS",3656,6,2.5,2,0.849462365591398,0.862475442043222,0.85596890381731,0.419766206163656
"Thyroid","RKCCD-IOS",3656,6,2.6875,2,0.849462365591398,0.870614650575358,0.860038508083378,0.433114035087719
"Thyroid","RKCCD-IOS",3656,6,2.875,2,0.817204301075269,0.877350547291608,0.847277424183439,0.429378531073446
"Thyroid","RKCCD-IOS",3656,6,3.0625,2,0.817204301075269,0.885209093460567,0.851206697267918,0.44340723453909
"Thyroid","RKCCD-IOS",3656,6,3.25,2,0.806451612903226,0.892786977266349,0.849619295084787,0.452352231604343
"Thyroid","RKCCD-IOS",3656,6,3.4375,2,0.78494623655914,0.896996912714005,0.840971574636572,0.449507389162561
"Thyroid","RKCCD-IOS",3656,6,3.625,2,0.774193548387097,0.902890822340724,0.83854218536391,0.455696202531646
"Thyroid","RKCCD-IOS",3656,6,3.8125,2,0.731182795698925,0.907942744877912,0.819562770288418,0.442708333333333
"Thyroid","RKCCD-IOS",3656,6,4,2,0.688172043010753,0.913275329778277,0.800723686394515,0.429530201342282
"Thyroid","UNCCD-OOS",3656,6,1,2,0.333333333333333,0.802133033960146,0.56773318364674,0.139891696750903
"Thyroid","UNCCD-OOS",3656,6,1.1875,2,0.301075268817204,0.83076059500421,0.565917931910707,0.139581256231306
"Thyroid","UNCCD-OOS",3656,6,1.375,2,0.268817204301075,0.854616895874263,0.561717050087669,0.136612021857924
"Thyroid","UNCCD-OOS",3656,6,1.5625,2,0.258064516129032,0.872859949480775,0.565462232804903,0.141342756183746
"Thyroid","UNCCD-OOS",3656,6,1.75,2,0.247311827956989,0.892506314903171,0.56990907143008,0.147814910025707
"Thyroid","UNCCD-OOS",3656,6,1.9375,2,0.247311827956989,0.903732809430255,0.575522318693622,0.155826558265583
"Thyroid","UNCCD-OOS",3656,6,2,2,0.247311827956989,0.908504069604266,0.577907948780628,0.159500693481276
"Thyroid","UNCCD-OOS",3656,6,2.125,2,0.247311827956989,0.914678641594162,0.580995234775576,0.164520743919886
"Thyroid","UNCCD-OOS",3656,6,2.3125,2,0.225806451612903,0.927027785573954,0.576417118593429,0.160796324655436
"Thyroid","UNCCD-OOS",3656,6,2.5,2,0.225806451612903,0.933483019927028,0.579644735769965,0.166666666666667
"Thyroid","UNCCD-OOS",3656,6,2.6875,2,0.182795698924731,0.937973617737861,0.560384658331296,0.139344262295082
"Thyroid","UNCCD-OOS",3656,6,2.875,2,0.172043010752688,0.945270839180466,0.558656924966577,0.137221269296741
"Thyroid","UNCCD-OOS",3656,6,3.0625,2,0.172043010752688,0.949761436991299,0.560902223871994,0.141093474426808
"Thyroid","UNCCD-OOS",3656,6,3.25,2,0.161290322580645,0.953690710075779,0.557490516328212,0.135869565217391
"Thyroid","UNCCD-OOS",3656,6,3.4375,2,0.150537634408602,0.957900645523435,0.554219139966019,0.130597014925373
"Thyroid","UNCCD-OOS",3656,6,3.625,2,0.129032258064516,0.96126859388156,0.545150425973038,0.114942528735632
"Thyroid","UNCCD-OOS",3656,6,3.8125,2,0.129032258064516,0.9632332304238,0.546132744244158,0.116504854368932
